,resource_id,sg_dep_median,sg_dep_cat,identity,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
286,10,0.0,none,0.2333333333333333,d92b97c0-4a75-4f45-9115-4cb6ac9109ad,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,1.0,01022023MORBO5,morrumbene,m,fence_trap,fish
261,10,0.0,none,0.1333333333333333,5bf5b760-0855-442e-8ccf-d32db9f09235,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,1.0,01022023MORB01,morrumbene,m,shrimp_net,shrimp_net
291,10,0.0,none,0.2,b4a29a62-c0e1-40fd-835b-a134449801ca,tsava,dzitsava,cavala,Rastrellinger kanagurta,Scombridae,bony fish,fish,1.0,O1O22023MOR06,morrumbene,m,drag_net,fish
23,50,3.0,high,1.0,c970df6e-cd2f-4068-a322-0f4b0018e5f5,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,15022023JOSB02,josina_machel,m,diving,fish
242,50,3.0,high,1.0,2dd5e1ed-eeed-47b2-827d-a0705fc23c7a,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,14022023SAHB03,sahane,f,glean,glean
179,50,3.0,high,0.2333333333333333,a9325c3b-f81d-431a-9628-6b0b57ede5e3,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,09022023NHMPB05,nhampossa,f,gill_net,fish
102,50,3.0,high,0.0333333333333333,fa135abb-d0cf-4f86-81fa-d786fd8a957a,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB04,marrambone,f,glean,glean
34,50,3.0,high,1.0,21b02f45-d7ae-4f05-9a52-89dad34349af,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,04022023CHAB01,chamane,m,glean,glean
13,50,3.0,high,0.2333333333333333,310a5eff-b95e-4979-a0dd-c98a7703f436,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,13022023NHMUB03,nhamua,m,glean,glean
75,50,3.0,high,0.3,786726d4-2b8e-46a0-ab5f-1339cbe1ab7b,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,26012023MARB01,marrambone,f,shrimp_net,shrimp_net
265,50,3.0,high,0.2666666666666666,04827c1d-3bba-4bcb-a8be-1af1c071e30f,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,01022023MORB02,morrumbene,f,shrimp_net,shrimp_net
24,50,3.0,high,1.0,c970df6e-cd2f-4068-a322-0f4b0018e5f5,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,15022023JOSB02,josina_machel,m,glean,glean
171,50,3.0,high,0.3333333333333333,1469e0fd-0691-405e-b1e8-c144e854fbb7,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,09022023NHMPB03,nhampossa,f,shrimp_net,shrimp_net
104,50,3.0,high,0.0333333333333333,fa135abb-d0cf-4f86-81fa-d786fd8a957a,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,02022023MARB04,marrambone,f,gill_net,fish
43,50,3.0,high,0.1666666666666666,d4d143b4-de71-42bd-be9e-b42bcadd5863,ndrolo,dzindrolo,Caranguejo,Portunus pelagicus,Portunidae,crustacean,crabs,1.0,04022023CHAB03,chamane,m,hand_line,fish
