,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,cap_income_hot,cap_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat
42,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,none,2333.333333333333,1600.0,0.11954135154915832,0.2448194456588266,04022023CHAB03,chamane,m,hand_line,fish
83,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,666.6666666666666,0.0,0.01503295169322041,0.09056056992785341,02022023MARB05,marrambone,m,fence_trap,fish
238,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,1200.0,4000.0,0.3,1.0,19022023ILHB05,ilha,m,hand_line,fish
164,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,1600.0,0.0,0.4444444444444444,0.0,17022023NHCHB05,nhamaxaxa,m,hand_line,fish
92,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,16800.0,840.0,0.6058488455213666,0.18854695831059237,02022023MARB07,marrambone,m,gill_net,fish
77,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,2400.0,4200.0,0.08648648648648649,0.146784715750233,02022023MARB04,marrambone,f,gill_net,fish
33,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,900.0,0.0,0.3333333333333333,0.0,15022023JOSB06,josina_machel,m,hand_line,fish
40,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,66.66666666666666,33.33333333333333,0.09090909090909091,0.049999999999999996,04022023CHAB02,chamane,m,hand_line,fish
16,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,30240.000000000004,3744.0000000000005,0.3344540789240843,0.08403663135212786,16022023NHMUB06,nhamua,m,gill_net,fish
159,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.0,1439.9999999999998,0.0,0.7058823529411764,17022023NHCHB03,nhamaxaxa,m,gill_net,fish
