,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,sg_dep_median,sg_dep_cat,prop_cap_hot,prop_cap_cold,days_hot,days_cold,cap_daily_hot,cap_daily_cold,cap_monthly_hot,cap_monthly_cold,cap_income_hot,cap_income_cold,val_trade_hot,val_trade_cold,activity_income_hot,activity_income_cold,income_fr_hot,income_fr_cold,tot_income_hot,tot_income_cold,prop_income_hot,prop_income_cold,id,ccp,gender,fish_pract,pract_cat,seagrass
205,01,hili,mihili,pescadinha,Sillago sihama,Sillaginidae,bony fish,fish,1.0,0.0,none,0.2,0.3333333333333333,3.0,5.0,8.0,3.0,48.0,30.0,2160.0,1599.9999999999995,800.0000000000001,666.6666666666665,0.0,0.0,2960.0,2266.666666666666,21260.0,11350.0,0.13922859830667922,0.19970631424375912,01022023MORBO5,morrumbene,m,fence_trap,fish,0.0
161,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.4,0.2,6.0,4.0,8.0,4.5,96.0,36.0,6400.0,3600.0,0.0,0.0,3000.0,3000.0,6400.0,3600.0,17800.0,10866.666666666666,0.3595505617977528,0.33128834355828224,09032023NHCHB07,nhamaxaxa,m,hand_line,fish,1.0
79,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.5333333333333333,0.5333333333333333,5.0,3.0,23.0,12.5,230.0,75.0,3220.0,2250.0,18399.999999999996,2999.9999999999995,6500.0,6500.0,21619.999999999996,6300.0,49668.66666666666,26501.6,0.4352844851885159,0.2377214960606152,02022023MARB05,marrambone,m,fence_trap,fish,1.0
6,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.4666666666666667,0.0,9.0,,20.0,,360.0,,27600.0,0.0,0.0,0.0,0.0,0.0,27600.0,0.0,27600.0,0.0,1.0,0.0,13022023NHMUB01,nhamua,m,fence_trap,fish,1.0
73,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.1333333333333333,3.0,6.0,5.0,12.0,30.0,144.0,950.0,12600.0,0.0,0.0,0.0,0.0,950.0,12600.0,27749.999999999996,28613.333333333332,0.03423423423423424,0.440354147250699,02022023MARB04,marrambone,f,gill_net,fish,1.0
55,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1666666666666666,0.2333333333333333,2.0,2.0,25.0,4.0,100.0,16.0,1320.0,211.20000000000002,0.0,0.0,0.0,0.0,1320.0,211.20000000000002,3479.733333333334,1068.8000000000002,0.3793394129818376,0.19760479041916165,04022023CHAB08,chamane,m,gill_net,fish,1.0
85,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.3666666666666666,0.1333333333333333,15.0,4.0,7.0,3.0,210.0,24.0,5600.0,952.0,2100.0,159.99999999999997,1500.0,100.0,7700.0,1112.0,28429.999999999993,7378.666666666666,0.2708406612733029,0.1507047343693531,02022023MARB06,marrambone,m,hand_line,fish,1.0
9,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.1,0.1333333333333333,7.0,2.0,10.0,6.0,140.0,24.0,1400.0,219.99999999999997,350.0,99.99999999999996,6000.0,6000.0,1750.0,319.99999999999994,11973.333333333332,7700.666666666666,0.14615812917594656,0.04155484373647303,13022023NHMUB03,nhamua,m,gill_net,fish,1.0
88,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.3,0.3,3.0,14.0,15.0,60.0,90.0,,1800.0,0.0,1875.0,0.0,0.0,0.0,3675.0,0.0,41391.8,9924.583333333332,0.08878570151575915,0.0,02022023MARB07,marrambone,m,gill_net,fish,1.0
50,02,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,0.0,none,0.2,0.0,9.0,,12.5,,225.0,,7875.0,0.0,0.0,0.0,0.0,0.0,7875.0,0.0,30822.619047619046,3834.666666666667,0.2554941871692866,0.0,04022023CHAB07,chamane,m,gill_net,fish,1.0
