,focal_resource,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,sg_dep_cat,prop_cap_hot,prop_cap_cold,cap_monthly_hot,cap_monthly_cold,id,ccp,gender,fish_pract,pract_cat
32,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.1666666666666666,0.1333333333333333,18.0,2.0,15022023JOSB06,josina_machel,m,hand_line,fish
4,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.1,0.2666666666666666,168.0,144.0,16022023NHMUB07,nhamua,m,gill_net,fish
15,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2333333333333333,0.2,,192.0,16022023NHMUB06,nhamua,m,gill_net,fish
237,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.3,0.0666666666666666,144.0,72.0,19022023ILHB07,ilha,m,gill_net,fish
20,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.3666666666666666,0.3666666666666666,60.0,32.0,15022023JOSB01,josina_machel,m,gill_net,fish
39,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.2333333333333333,0.1,4.0,2.0,04022023CHAB02,chamane,m,hand_line,fish
63,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.0666666666666666,0.0,9.0,,02022023MARB02,marrambone,f,shrimp_net,shrimp_net
51,03,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,none,0.3,0.2333333333333333,54.0,6.0,04022023CHAB07,chamane,m,hand_line,fish
187,04,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,high,0.4,0.1666666666666666,72.0,12.0,04032023NGUB05,nguja,m,gill_net,fish
184,04,pata,dzipata,peixe zebras,Terapon jarbua,Teraponidae,bony fish,fish,high,0.3666666666666666,0.3,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish
103,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.0666666666666666,0.1666666666666666,15.0,210.0,31012023MUB02,mucucune,m,fence_trap,fish
186,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.2,0.3333333333333333,6.0,30.0,04032023NGUB05,nguja,m,gill_net,fish
188,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.2666666666666666,0.5333333333333333,50.0,140.0,04032023NGUB06,nguja,m,gill_net,fish
21,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.5666666666666667,0.5666666666666667,60.0,32.0,15022023JOSB01,josina_machel,m,gill_net,fish
183,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.2333333333333333,0.2333333333333333,0.0,0.0,04032023NGUB04,nguja,m,hand_line,fish
90,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.2,0.2,240.0,32.0,02022023MARB07,marrambone,m,gill_net,fish
98,06,gigulula,sigulula,esparo,Crenidens crenidens,Sparidae,bony fish,fish,mod,0.1,0.1333333333333333,144.0,240.0,31012023MUCB01,mucucune,m,fence_trap,fish
