,resource_id,sg_dep_median,sg_dep_cat,social,ParentGlobalID,gitonga_s,gitonga_p,portuguese,scientific,family,phylum,category,focal,id,ccp,gender,fish_pract,pract_cat
177,02,0.0,none,0.1428333333333333,be5b94c1-65c2-44dc-af3c-8a0c1f35f055,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,08022023MADB02,madava,m,drag_net,fish
45,02,0.0,none,1.0,5861a90d-3554-4a81-b5e8-e8f9870b88fb,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,04022023CHAB02,chamane,m,hand_line,fish
48,02,0.0,none,0.0666666666666666,d4d143b4-de71-42bd-be9e-b42bcadd5863,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,hand_line,fish
114,02,0.0,none,0.2666666666666666,c4bf73af-5f99-4b43-abd8-9373a369c415,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,02022023MARB07,marrambone,m,gill_net,fish
49,02,0.0,none,0.0666666666666666,d4d143b4-de71-42bd-be9e-b42bcadd5863,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,04022023CHAB03,chamane,m,shrimp_net,shrimp_net
37,02,0.0,none,0.2333333333333333,e6132e33-e9f3-45ea-a5cf-7d565844a22c,livbionho,mavbionho,Melanúria comum,Gerres oyena,Gerreidae,bony fish,fish,1.0,15022023JOSB06,josina_machel,m,hand_line,fish
158,03,0.5,none,0.1333333333333333,a00016e0-0782-4f50-a9a8-4a5e202f5c50,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,09022023NHMPB02,nhampossa,m,gill_net,fish
111,03,0.5,none,0.1666666666666666,a9a9124d-f801-444e-a6ac-6f1064ecb6a6,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB06,marrambone,m,hand_line,fish
163,03,0.5,none,0.2,1469e0fd-0691-405e-b1e8-c144e854fbb7,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,09022023NHMPB03,nhampossa,f,shrimp_net,shrimp_net
145,03,0.5,none,0.1666666666666666,72b20ec3-78b0-44b1-8f62-06504a26e4c5,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,31012023MUCB06,mucucune,m,gill_net,fish
105,03,0.5,none,0.2,e8d84b41-6838-4a4d-b98d-66385c122993,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB05,marrambone,m,fence_trap,fish
140,03,0.5,none,0.25,942decee-217f-4b36-be4c-3948ed7665d0,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,31012023MUCB05,mucucune,m,hand_line,fish
121,03,0.5,none,0.6,926e019e-024f-43c8-8bfb-1a8170a861dd,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB09,marrambone,f,shrimp_net,shrimp_net
95,03,0.5,none,0.2666666666666666,fa135abb-d0cf-4f86-81fa-d786fd8a957a,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,shrimp_net,shrimp_net
96,03,0.5,none,0.2666666666666666,fa135abb-d0cf-4f86-81fa-d786fd8a957a,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB04,marrambone,f,gill_net,fish
176,03,0.5,none,0.1428333333333333,be5b94c1-65c2-44dc-af3c-8a0c1f35f055,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,08022023MADB02,madava,m,drag_net,fish
129,03,0.5,none,0.1333333333333333,b1aecc22-d28c-4728-9c70-966d76a26e88,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,31012023MUB02,mucucune,m,fence_trap,fish
115,03,0.5,none,0.1333333333333333,c4bf73af-5f99-4b43-abd8-9373a369c415,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB07,marrambone,m,gill_net,fish
119,03,0.5,none,0.4666666666666667,53eb3e09-7bc8-4d11-868d-4415c4329998,salani,,Melanúria timoneira,Gerres longirostris,Gerreidae,bony fish,fish,1.0,02022023MARB08,marrambone,m,basket_trap,fish
