,id,date,ccp,gender,age,birth_place,mar_status,ed_level,house_head,glean,electricity,fridge_freezer,fridge_freezer_num,water,matress,matress_num,mobile_phone,mobile_phone_num,smart_phone,smart_phone_num,fan,fan_num,tv,tv_num,radio,radio_num,stove,stove_num,transport,transport_num,floor,floor_other,wall,wall_other,roof,roof_other,access_credit_loans,community_participation,ccp_member,ccp_participation,decision_making_manag,decision_making_fish,change_seagrass,direction_change_seagrass,causes_change_seagrass,change_fish,direction_change_resources,causes_change_resources,link_seagrass_resources,capacity_change_practice,capacity_change_livelihood,capacity_organize,local_knowledge,agency_change_seagrass,agency_change_seagrass_other,agency_change_capture,agency_change_capture_other,action_seagrass,action_seagrass_other,human_mang_seagrass,action_capture,action_capture_other,human_mang_capture,gear,hours,cap_daily_total,value,persons,pract_cat,cpue
78,08032023MORC03,5/5/2023 10:00:00 AM,morrumbene,m,55.0,community,married,primary,respondent,no,0,0,,0,1,1.0,1,1.0,0,,0,,0,,0,,1,,no_transport,,concrete,,reeds,,straw,,none,yes,no,yes,no,respondent,yes,sig_less,['unsure'],yes,sig_less,"['destructive_gear', 'climate_change']",yes,agree strongly,agree strongly,agree strongly,agree weakly,['no_change'],,['no_change'],,['unsure'],,not recorded,['fishing_manag'],,yes,hand_line,4.0,4.0,360.0,,fish,1.0
79,08032023MORC04,5/5/2023 10:00:00 AM,morrumbene,f,49.0,country,married,primary,other member,yes,1,0,,1,1,1.0,1,1.0,0,,0,,0,,0,,0,,no_transport,,concrete,,reeds,,other,Macuti,rotating_savings,yes,no,yes,yes,respondent,unsure,,['unsure'],yes,sig_less,['climate_change'],unsure,agree strongly,disagree strongly,agree strongly,agree strongly,['other'],faz apanha de um outro produto,['leave'],,['NR'],,yes,['unsure'],,not recorded,glean,2.0,3.0,100.0,,glean,1.5
80,08032023MORC05,5/5/2023 10:00:00 AM,morrumbene,m,62.0,community,married,primary,respondent,no,1,0,,1,1,1.0,1,1.0,0,,0,,0,,0,,0,,no_transport,,concrete,,reeds,,metal,,none,yes,yes,yes,yes,respondent,yes,sig_less,['climate_change'],yes,sig_less,['climate_change'],no,disagree strongly,disagree strongly,agree strongly,disagree strongly,['no_change'],,['no_change'],,['unsure'],,not recorded,['fishing_manag'],,yes,fence_trap,4.0,3.0,450.0,,fish,0.75
81,08032023MORC06,5/5/2023 10:00:00 AM,morrumbene,m,69.0,community,married,primary,respondent,no,1,1,1.0,1,1,1.0,1,1.0,0,,0,,1,1.0,0,,0,,no_transport,,concrete,,metal,,metal,,none,yes,yes,yes,yes,respondent,yes,sig_less,['climate_change'],yes,sig_less,['climate_change'],no,agree weakly,agree strongly,agree strongly,agree strongly,['no_change'],,['no_change'],,['reduce_fishing'],,yes,['fishing_manag'],,yes,shrimp_net,5.0,1.0,200.0,2.0,shrimp_net,0.1
82,08032023MORC07,5/5/2023 10:00:00 AM,morrumbene,m,59.0,other coastal area,married,secondary,respondent,no,1,0,,1,1,1.0,1,1.0,0,,0,,0,,0,,0,,no_transport,,concrete,,reeds,,other,Macuti,rotating_savings,yes,no,yes,yes,respondent,yes,sig_less,['climate_change'],yes,sig_less,['NR'],no,disagree strongly,disagree strongly,agree strongly,agree weakly,['no_change'],,['no_change'],,['unsure'],,not recorded,['change_gear'],,yes,shrimp_net,4.0,2.0,200.0,2.0,shrimp_net,0.25
83,08032023MORC08,5/5/2023 10:00:00 AM,morrumbene,m,61.0,community,single,primary,respondent,no,1,1,1.0,0,1,1.0,0,,1,1.0,0,,0,,1,1.0,1,1.0,car,,concrete,,reeds,,metal,,none,yes,yes,yes,yes,respondent,yes,sig_less,"['fishing_pressure', 'destructive_gear']",no,no_change,['NR'],yes,agree strongly,agree strongly,agree strongly,agree strongly,['no_change'],,['no_change'],,['fishing_manag'],,yes,['fishing_manag'],,yes,drag_net,8.0,100.0,10000.0,12.0,fish,1.0416666666666667
84,04032023NGUC01,5/5/2023 10:00:00 AM,nguja,m,62.0,district interior,married,primary,respondent,no,1,0,,1,1,1.0,1,1.0,0,,0,,0,,1,1.0,0,,no_transport,,concrete,,reeds,,metal,,rotating_savings,yes,yes,yes,yes,respondent,yes,sig_less,['climate_change'],yes,sig_less,['fishing_pressure'],unsure,agree weakly,agree strongly,agree strongly,agree weakly,['fish_less'],,['fish_less'],,['unsure'],,no,['fishing_manag'],,yes,shrimp_net,4.0,1.75,350.0,2.0,shrimp_net,0.21875
85,04032023NGUC02,5/5/2023 10:00:00 AM,nguja,m,57.0,community,married,primary,respondent and other,no,1,1,1.0,0,1,1.0,0,,1,1.0,0,,1,1.0,0,,0,,no_transport,,concrete,,reeds,,metal,,none,yes,no,no,no,respondent,yes,sig_less,['destructive_gear'],yes,sig_less,['destructive_gear'],yes,agree weakly,disagree strongly,agree strongly,agree weakly,['no_change'],,['no_change'],,['change_gear'],,yes,['fishing_manag'],,yes,hand_line,4.0,3.0,210.0,,fish,0.75
86,04032023NGUC03,5/5/2023 10:00:00 AM,nguja,m,44.0,other coastal area,married,primary,respondent and other,no,0,0,,0,1,2.0,0,,1,1.0,0,,0,,0,,0,,no_transport,,concrete,,metal,,metal,,rotating_savings,yes,yes,yes,no,respondent,yes,more,['unsure'],yes,sig_less,['unsure'],yes,agree strongly,agree strongly,agree strongly,disagree strongly,['change_area'],,['fish_less'],,['NR'],,yes,['fishing_manag'],,yes,hand_line,8.0,3.0,225.0,,fish,0.375
87,04032023NGUC04,5/5/2023 10:00:00 AM,nguja,m,49.0,community,married,primary,respondent and other,no,1,0,,0,1,1.0,0,,1,1.0,0,,0,,1,1.0,0,,no_transport,,concrete,,reeds,,straw,,rotating_savings,yes,yes,yes,yes,other,yes,sig_less,['unsure'],yes,sig_less,['fishing_pressure'],yes,agree strongly,agree strongly,agree strongly,agree weakly,['no_change'],,['fish_less'],,['fishing_manag'],,yes,['fishing_manag'],,yes,gill_net,8.0,7.0,500.0,,fish,0.875
88,04032023NGUC05,5/5/2023 10:00:00 AM,nguja,m,52.0,community,married,primary,respondent and other,no,0,0,,0,0,,1,1.0,0,,1,,1,,1,1.0,0,,no_transport,,sand,,reeds,,straw,,rotating_savings,yes,yes,yes,yes,respondent,yes,sig_less,['unsure'],yes,sig_less,['unsure'],unsure,agree strongly,agree weakly,agree strongly,agree strongly,['fish_less'],,['fish_less'],,['unsure'],,no,"['reduce_fishing', 'fishing_manag']",,yes,gill_net,8.0,3.0,225.0,,fish,0.375
89,04032023NGUC06,5/5/2023 10:00:00 AM,nguja,f,50.0,other coastal area,widowed,primary,respondent,yes,0,0,,0,1,1.0,0,,1,1.0,0,,0,,1,1.0,0,,no_transport,,concrete,,ciment,,metal,,rotating_savings,yes,yes,yes,yes,respondent,yes,sig_less,['unsure'],yes,sig_less,['unsure'],yes,agree strongly,agree strongly,agree strongly,agree strongly,['fish_less'],,['fish_less'],,['unsure'],,no,['fishing_manag'],,yes,glean,2.0,2.5,100.0,,glean,1.25
90,04032023NGUC07,5/5/2023 10:00:00 AM,nguja,f,50.0,community,single,illiterate,respondent,yes,0,0,,0,0,,1,1.0,0,,0,,0,,1,1.0,0,,no_transport,,sand,,reeds,,straw,,none,yes,yes,yes,yes,respondent,yes,sig_less,['destructive_gear'],yes,sig_less,"['fishing_pressure', 'destructive_gear']",yes,agree weakly,agree strongly,agree strongly,disagree slightly,['leave'],,['fish_less'],,['change_gear'],,yes,['fishing_manag'],,yes,glean,2.0,3.0,75.0,,glean,1.5
